7,1,280,101,4
-1,1,240,60,87
0,1,221,-21,37
2,1,260,80,33
1,1,260,101,33
4,2,260,121,33
1,2,280,80,39
2,3,280,101,39
1,3,280,121,39
4,4,300,80,45
2,4,300,101,45
1,4,300,121,45
2,5,340,115,45
2,5,340,110,45
4,5,340,105,45
4,5,340,100,45
2,5,340,95,45
2,5,340,90,45
4,5,340,85,45
4,5,340,80,45
2,5,340,75,45
2,5,340,70,45
4,5,340,65,45
4,5,340,60,45
2,5,340,55,45
2,5,340,50,45
4,5,340,45,45
4,5,340,40,45
2,5,340,35,45
1,10,228,0,2
1,11,233,0,2
1,12,238,0,2
1,13,243,0,2
1,14,248,0,2
1,15,253,0,2
1,16,258,0,2
1,17,263,0,2
1,18,278,8,2
1,19,283,8,2
1,20,288,8,2
1,21,293,8,2
1,22,298,8,2
1,23,303,8,2
1,24,308,8,2
1,25,313,8,2
1,1,344,0,32
1,1,340,0,32
1,1,336,0,32
1,1,332,0,32
3,1,328,0,32
3,1,324,0,32
3,1,320,0,32
3,1,316,0,32
1,1,312,0,32
1,1,308,0,32
1,1,304,0,32
1,1,330,0,32
1,1,228,0,32
