0,1,-40,0,5
0,2,-131,2,11
-1,1,-400,-5,140
2,1,184.5,3,3
4,1,175.4,-2.7,3
2,2,164.8,-2.5,3
4,2,155.5,2.54,3
2,3,144.7,3,3
4,3,135.7,-2.7,3
2,4,124.7,-2.7,3
4,4,104.8,2.7,3
2,5,115.5,2.5,3
4,5,95.5,-2.5,3
2,6,84.9,-3,3
4,6,75.7,2.6,3
2,7,65,2.6,3
4,7,55.1,-2.7,3
4,8,45.7,-2.9,3
4,9,33.3,2.6,3
2,8,25.9,2.6,3
4,10,15.2,-2.8,3
2,9,5.2,-2.8,3
4,11,-4.5,2.5,3
2,10,-15.2,2.5,3
4,12,-24.4,-2.6,3
4,13,-243.5,-4.74,25
4,14,-242.0,11.63,25
4,15,-258.0,-5.8,25
4,16,-258.0,12.0,25
4,17,-98.0,-52.8,23
4,18,-84.1,-52.8,23
1,1,-124,-52.3,2
1,2,-133,-52.3,2
1,3,-142,-52.3,2
1,4,-151,-52.3,2
1,5,-160,-52.3,2
1,6,-169,-52.3,2
1,7,-178,-52.3,2
1,8,-187,-52.3,2
1,9,-187,-43.3,2
1,10,-187,-34.3,2
1,11,-187,-25.3,2
1,12,-187,-16.3,2
1,13,-187,-7.3,2
1,14,-187,2.3,2
1,15,-187,11.3,2
1,16,-187,20.3,2
1,17,-187,29.3,2
1,18,-187,38.3,2
1,19,-187,47.3,2
1,20,-187,56.3,2
1,21,-178,56.3,2
1,22,-169,56.3,2
1,23,-160,56.3,2
1,24,-151,56.3,2
1,25,-142,56.3,2
1,26,-133,56.3,2
1,27,-124,56.3,2
1,28,-115,56.3,2
1,29,-106,56.3,2
1,30,-97,56.3,2
1,31,-88,56.3,2
1,32,-79,56.3,2
3,1,-79,47.3,2
3,2,-79,38.3,2
3,3,-79,29.3,2
3,4,-79,20.3,2
3,5,-79,11.3,2
3,6,-79,2.3,2
3,7,-79,-7.3,2
3,8,-79,-16.3,2
3,9,-79,-25.3,2
3,10,-79,-34.3,2
3,11,-79,-43.3,2
1,33,-91,29,64
1,34,-91,20,64
1,36,-91,11,64
1,37,-91,2,64
1,38,-91,-7,64
1,39,-91,-16,64
1,40,-91,-25,64
1,41,-91,-34,64
1,42,-91,-43,64
1,43,-100,-43,64
1,44,-109,-43,64
1,45,-118,-43,64
1,46,-127,-43,64
1,47,-136,-43,64
1,48,-145,-43,64
1,49,-154,-43,64
1,50,-163,-43,64
1,51,-172,-43,64
1,52,-172,-34,64
1,53,-172,-25,64
1,54,-172,-16,64
1,55,-172,-7,64
1,56,-172,2,64
1,57,-172,11,64
1,58,-172,20,64
1,59,-172,29,64
1,60,-172,38,64
3,12,-163,38,64
3,12,-154,38,64
3,12,-145,38,64
3,12,-136,38,64
3,12,-127,38,64
3,12,-118,38,64
3,12,-109,38,64
3,12,-100,38,64
3,12,-91,38,64
7,1,-315,-9,85
7,1,-90.8,-52.8,24
6,1,-36.2,-95,5
5,1,-251.45,3.8,25
